service_id,date,exception_type
"30_317574","20150204","1"
"30_317574","20150205","1"
"30_317574","20150206","1"
"30_317574","20150207","1"
"30_317574","20150209","1"
"30_317574","20150210","1"
"30_317574","20150211","1"
"30_317574","20150212","1"
"30_317574","20150213","1"
"30_317574","20150214","1"
"30_317574","20150216","1"
"30_317574","20150218","1"
"30_317574","20150219","1"
"30_317574","20150220","1"
"30_317574","20150221","1"
"30_317574","20150223","1"
"30_317574","20150224","1"
"30_317574","20150225","1"
"30_317574","20150226","1"
"30_317574","20150227","1"
"30_317574","20150228","1"
"30_317574","20150302","1"
"30_317574","20150303","1"
"30_317574","20150304","1"
"30_317574","20150305","1"
"30_317574","20150306","1"
"30_317574","20150307","1"
"30_317574","20150309","1"
"30_317574","20150310","1"
"30_317574","20150311","1"
"30_317574","20150312","1"
"30_317574","20150313","1"
"30_317574","20150314","1"
"30_317574","20150316","1"
"30_317574","20150317","1"
"30_317574","20150318","1"
"30_317574","20150319","1"
"30_317574","20150320","1"
"30_317574","20150321","1"
"30_317574","20150323","1"
"30_317574","20150324","1"
"30_317574","20150325","1"
"30_317574","20150326","1"
"30_317574","20150327","1"
"30_317574","20150328","1"
"30_317574","20150330","1"
"30_317574","20150331","1"
"30_317574","20150401","1"
"30_317574","20150408","1"
"30_317574","20150409","1"
"30_317574","20150410","1"
"30_317574","20150411","1"
"30_317574","20150413","1"
"30_317574","20150414","1"
"30_317574","20150415","1"
"30_317574","20150416","1"
"30_317574","20150417","1"
"30_317574","20150418","1"
"30_317574","20150420","1"
"30_317574","20150421","1"
"30_317574","20150422","1"
"30_317574","20150423","1"
"30_317574","20150424","1"
"30_317574","20150427","1"
"30_317574","20150428","1"
"30_317574","20150429","1"
"30_317574","20150430","1"
"30_317574","20150502","1"
"30_317574","20150504","1"
"30_317574","20150505","1"
"30_317574","20150506","1"
"30_317574","20150507","1"
"30_317574","20150508","1"
"30_317574","20150509","1"
"30_317574","20150511","1"
"30_317574","20150512","1"
"30_317574","20150513","1"
"30_317574","20150514","1"
"30_317574","20150515","1"
"30_317574","20150516","1"
"30_317574","20150518","1"
"30_317574","20150519","1"
"30_317574","20150520","1"
"30_317574","20150521","1"
"30_317574","20150522","1"
"30_317574","20150523","1"
"30_317574","20150525","1"
"30_317574","20150526","1"
"30_317574","20150527","1"
"30_317574","20150528","1"
"30_317574","20150529","1"
"30_317574","20150530","1"
"30_317574","20150601","1"
"30_317574","20150603","1"
"30_317574","20150604","1"
"30_317574","20150605","1"
"30_317574","20150606","1"
"30_317574","20150608","1"
"30_317574","20150609","1"
"30_317574","20150610","1"
"30_317574","20150914","1"
"30_317574","20150915","1"
"30_317574","20150916","1"
"30_317574","20150917","1"
"30_317574","20150918","1"
"30_317574","20150919","1"
"30_317574","20150921","1"
"30_317574","20150922","1"
"30_317574","20150923","1"
"30_317574","20150924","1"
"30_317574","20150925","1"
"30_317574","20150926","1"
"30_317574","20150928","1"
"30_317574","20150929","1"
"30_317574","20150930","1"
"30_317574","20151001","1"
"30_317574","20151002","1"
"30_317574","20151003","1"
"30_317574","20151005","1"
"30_317574","20151006","1"
"30_317574","20151007","1"
"30_317574","20151008","1"
"30_317574","20151009","1"
"30_317574","20151010","1"
"30_317574","20151012","1"
"30_317574","20151013","1"
"30_317574","20151014","1"
"30_317574","20151015","1"
"30_317574","20151016","1"
"30_317574","20151017","1"
"30_317574","20151019","1"
"30_317574","20151020","1"
"30_317574","20151021","1"
"30_317574","20151022","1"
"30_317574","20151023","1"
"30_317574","20151024","1"
"30_317574","20151026","1"
"30_317574","20151027","1"
"30_317574","20151028","1"
"30_317574","20151029","1"
"30_317574","20151030","1"
"30_317574","20151031","1"
"30_317574","20151102","1"
"30_317574","20151103","1"
"30_317574","20151104","1"
"30_317574","20151105","1"
"30_317574","20151106","1"
"30_317574","20151107","1"
"30_317574","20151109","1"
"30_317574","20151110","1"
"30_317574","20151111","1"
"30_317574","20151112","1"
"30_317574","20151113","1"
"30_317574","20151114","1"
"30_317574","20151116","1"
"30_317574","20151117","1"
"30_317574","20151118","1"
"30_317574","20151119","1"
"30_317574","20151120","1"
"30_317574","20151121","1"
"30_317574","20151123","1"
"30_317574","20151124","1"
"30_317574","20151125","1"
"30_317574","20151126","1"
"30_317574","20151127","1"
"30_317574","20151128","1"
"30_317574","20151130","1"
"30_317574","20151201","1"
"30_317574","20151202","1"
"30_317574","20151203","1"
"30_317574","20151204","1"
"30_317574","20151205","1"
"30_317574","20151207","1"
"30_317574","20151209","1"
"30_317574","20151210","1"
"30_317574","20151211","1"
"30_317574","20151212","1"
"30_317574","20151214","1"
"30_317574","20151215","1"
